Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,GDP,Population (in 100K),Income composition of resources,Schooling,under-five deaths 
71,2010,0,73.0,0,11.36,2267.252192,14965.361,0.57,0.884,13.7,0
126,2014,1,117.0,0,6.03,463.6397821,16737.89827,34.2,0.791,15.5,0
42,2011,1,197.0,0,0.01,401.7931045,4353.121392,0.87,0.709,14.7,0
97,2011,0,128.0,2,10.93,250.0773782,13893.18768,38.63,0.829,15.4,2
128,2013,1,135.0,0,0.01,447.545645,3167.34356,2.53,0.591,10.8,0
48,2010,1,76.0,0,9.0,3189.754439,26917.75898,111.21,0.859,16.4,0
6,2013,0,61.0,1,9.87,11734.85381,67792.3386,231.17,0.933,20.3,1
99,2006,0,157.0,3,8.51,665.6427546,5828.745662,21.19,0.755,13.7,4
74,2005,1,135.0,3,0.46,297.5913833,5593.822995,256.59,0.734,12.9,4
118,2012,1,294.0,14,0.01,41.60027954,563.6894247,68.59,0.464,12.0,21
121,2006,1,12.0,3,1.46,420.1153538,3371.71231,11.96,0.689,14.2,4
27,2007,1,9.0,2,7.39,209.4875875,1526.87746,164.92,0.797,14.8,2
62,2004,1,125.0,4,0.54,32.52523612,261.456882,55.36,0.723,13.5,4
13,2011,1,251.0,25,1.4,110.2633619,825.9427854,0.95,0.454,9.8,39
47,2003,1,38.0,41,1.53,31.09435342,373.2815537,24.47,0.489,7.9,63
62,2012,1,115.0,4,0.41,67.70171064,387.753211,79.93,0.735,12.9,4
66,2010,0,18.0,0,9.8,1109.969508,11326.21947,2.98,0.815,16.0,0
16,2011,1,325.0,2,5.76,668.9562854,7645.21469,2.51,0.678,12.4,3
16,2010,1,349.0,2,5.99,547.0386679,6346.15624,2.15,0.669,12.3,3
78,2005,1,168.0,0,3.94,479.9234077,5116.45424,12.28,0.704,13.0,0
83,2004,1,429.0,82,1.54,46.58195631,336.3318145,2.31,0.332,7.0,120
62,2003,1,127.0,4,0.54,228.7838108,1889.213962,53.97,0.717,13.2,4
89,2012,1,232.0,49,0.01,29.75517982,391.515524,177.32,0.331,5.1,90
121,2009,1,12.0,3,1.4,585.6307861,4129.977335,15.22,0.706,14.4,3
4,2009,1,126.0,10,8.33,1398.042623,8161.36966,4.8,0.794,16.5,11
9,2014,1,132.0,98,0.01,10.44640334,184.56543,159.45,0.57,10.0,121
46,2008,0,8.0,2,11.36,8285.264655,45699.19832,8.21,0.903,16.6,3
66,2009,0,184.0,0,9.85,1137.6237,12219.37379,21.42,0.821,16.4,0
99,2011,0,139.0,2,9.1,10.32588862,92.277825,21.48,0.798,15.7,2
103,2003,1,225.0,0,6.54,86.42744056,649.342153,1.48,0.504,9.7,0
94,2006,1,161.0,3,5.61,26.18072382,189.71539,58.83,0.648,12.1,4
18,2014,0,138.0,1,12.03,153.1400362,7853.335191,72.24,0.787,14.8,1
7,2003,0,88.0,0,12.2,504.4308735,3212.9355,81.21,0.837,14.7,0
70,2008,0,224.0,0,13.3,1888.149904,14961.56818,31.98,0.82,16.5,0
21,2005,1,134.0,0,4.26,3.349816965,248.13459,4.75,0.582,11.2,0
7,2010,0,75.0,0,12.1,7423.228774,46657.629,8.36,0.872,15.4,0
19,2009,1,283.0,44,4.55,81.14304705,552.7455521,15.14,0.356,5.9,77
100,2011,1,242.0,14,11.04,184.764931,14212.687,142.97,0.785,14.0,17
40,2005,1,189.0,0,15.52,153.5045263,1338.31322,13.55,0.812,15.9,0
87,2013,0,6.0,1,8.68,1475.030397,51574.48942,16.84,0.922,18.1,1
110,2007,0,72.0,2,11.05,510.9327012,3279.414,45.23,0.849,16.0,2
98,2013,0,79.0,0,10.0,2698.01817,21618.73534,14.57,0.827,16.3,0
54,2008,1,159.0,4,3.14,231.9112915,1751.595857,78.73,0.597,11.1,5
104,2009,1,219.0,21,0.3,1.177477677,12.566464,12.56,0.444,7.5,33
97,2009,0,136.0,2,10.7,1299.159757,11527.59323,38.15,0.818,15.1,3
65,2005,1,213.0,0,0.6,111.7392134,1214.556667,0.92,0.0,12.2,0
58,2013,0,67.0,0,10.49,703.5527332,5234.76736,45.98,0.902,18.6,0
44,2013,1,255.0,2,8.86,154.8758879,9679.742995,18.17,0.678,12.5,3
67,2010,1,94.0,1,1.58,805.3956346,8763.826274,43.37,0.752,13.3,1
17,2014,1,144.0,44,7.32,83.16465362,1226.61731,242.13,0.747,15.2,49
68,2013,1,518.0,4,0.01,153.3443147,1196.1335,21.17,0.484,11.1,6
127,2004,1,183.0,24,1.59,34.41887163,465.1198869,25.86,0.613,11.6,29
108,2011,1,186.0,0,0.99,229.6687488,1642.837974,5.4,0.497,9.4,0
80,2013,1,227.0,1,0.01,241.1958645,4385.379355,2.87,0.72,14.7,1
96,2003,1,217.0,67,4.44,0.901149288,11.553196,83.32,0.631,11.6,87
125,2010,1,212.0,5,8.39,375.6835376,2965.142365,0.46,0.728,14.9,6
101,2011,1,247.0,14,8.34,9.074569426,617.317648,1.52,0.464,10.2,20
36,2003,1,151.0,8,3.69,18.26183281,244.46898,13.29,0.679,12.6,10
52,2010,1,221.0,0,7.52,48.02859441,326.281212,7.47,0.618,10.2,1
18,2011,0,144.0,1,10.67,875.1495189,7813.83499,73.48,0.775,14.2,1
37,2006,1,211.0,3,2.77,57.74562629,362.951768,6.56,0.651,12.9,3
